Method_Pair,Prefix,Source,n_GF,n_KF,R2_GF,R2_KF,Slope_GF,Slope_KF,pvalue_GF,pvalue_KF
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,Charcoal Burning,22,41,0.8550638040187908,0.8143183379834296,0.39392981450790493,0.39829964670664897,7.735316787093938e-10,7.706167248092728e-16
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,Wood Burning,11,24,0.7590126183559976,0.7864576923821739,0.43166941108933365,0.3805064758617415,0.0004783720420783403,7.8974699779447e-09
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,Fossil Fuel,25,13,0.8361003031124838,0.3570739436088351,0.4400771324078335,0.33704200194913897,1.6577922951758874e-10,0.031027926679379755
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,Polluted Marine,23,21,0.6242209515153704,0.7059476602701372,0.5276323524929103,0.7325694827677048,7.311838883360448e-06,1.8803547312080775e-06
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,Sea Salt,21,3,0.8402470500189356,0.7158681719938701,0.40191407162616954,1.5666379256690681,5.291239106705943e-09,0.3579010919024397
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,Charcoal Burning,22,38,0.7342863585495867,0.6272627819060067,1.3076213028221555,1.1046484250898918,3.5506589498432285e-07,3.167675436612491e-09
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,Wood Burning,11,23,0.39597629830693726,0.5936201218398814,1.109000853410869,1.0211370588964046,0.03804443380871231,1.7003840634649645e-05
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,Fossil Fuel,23,13,0.6893617993883092,0.39704097412662315,1.1538329653110144,1.2153504582244492,9.483205245780678e-07,0.020978501554782942
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,Polluted Marine,22,20,0.47690080555319986,0.25575424103569805,0.6993684888420014,0.6018566234681293,0.00037411803616445804,0.022914833409224365
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,Sea Salt,19,3,0.5424151369082174,0.3900847122654318,1.2892266167847684,4.2669328194458815,0.0003232327916575575,0.5705504559727246
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,Charcoal Burning,22,38,0.6774290419279043,0.5490528377339721,2.948231435347426,2.4579071648724655,2.5576488144599746e-06,1.038192346485075e-07
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,Wood Burning,11,23,0.21108559087141246,0.4142367782785265,1.6341796651034242,1.9885151526761808,0.15512545853872647,0.0009213374268621301
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,Fossil Fuel,23,13,0.551523912698086,0.06227121680210176,2.1833308053298883,0.8533409667664232,4.941567619625047e-05,0.41095869884415914
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,Polluted Marine,22,20,0.49281921585459243,0.14812974816320545,1.0650582928706798,0.5295007199726229,0.0002708799162568396,0.09380518063185356
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,Sea Salt,19,3,0.41381431864972007,0.012577980986048265,2.5681122473646343,0.413799248874947,0.0029651100849483586,0.928451547875164
