Season,Time Block,n,IR BCc,UV/IR,True AAE,Delta-C,CV
Dry (Oct-Feb),00-05 (night),"128,476",2.2,1.73,1.64,1.7,0.437
Dry (Oct-Feb),05-09 (morning),"93,820",8.6,1.60,1.55,4.8,0.416
Dry (Oct-Feb),09-13 (midday),"103,219",4.0,1.47,1.45,1.8,0.406
Dry (Oct-Feb),13-17 (afternoon),"103,621",3.9,1.45,1.44,1.6,0.402
Dry (Oct-Feb),17-21 (evening),"103,369",4.8,1.56,1.52,2.7,0.406
Dry (Oct-Feb),21-24 (late night),"77,494",2.9,1.64,1.58,2.0,0.418
Belg (Mar-May),00-05 (night),"93,551",3.1,1.69,1.61,2.1,0.418
Belg (Mar-May),05-09 (morning),"70,283",9.5,1.59,1.55,5.0,0.411
Belg (Mar-May),09-13 (midday),"75,047",4.6,1.50,1.48,2.3,0.402
Belg (Mar-May),13-17 (afternoon),"75,621",4.3,1.54,1.50,2.2,0.403
Belg (Mar-May),17-21 (evening),"74,141",5.5,1.60,1.55,3.3,0.405
Belg (Mar-May),21-24 (late night),"56,044",3.9,1.59,1.54,2.8,0.400
Kiremt (Jun-Sep),00-05 (night),"100,130",4.7,1.65,1.59,2.9,0.416
Kiremt (Jun-Sep),05-09 (morning),"75,952",10.6,1.50,1.48,4.6,0.401
Kiremt (Jun-Sep),09-13 (midday),"80,384",6.5,1.46,1.45,2.9,0.398
Kiremt (Jun-Sep),13-17 (afternoon),"80,846",5.8,1.52,1.49,2.9,0.406
Kiremt (Jun-Sep),17-21 (evening),"73,625",10.6,1.60,1.55,6.1,0.410
Kiremt (Jun-Sep),21-24 (late night),"55,009",9.6,1.66,1.59,6.0,0.415
All Seasons,00-05 (night),"322,157",3.1,1.69,1.62,2.2,0.424
All Seasons,05-09 (morning),"240,055",9.5,1.57,1.53,4.8,0.410
All Seasons,09-13 (midday),"258,650",4.8,1.48,1.46,2.3,0.402
All Seasons,13-17 (afternoon),"260,088",4.5,1.50,1.47,2.1,0.404
All Seasons,17-21 (evening),"251,135",5.9,1.58,1.54,3.6,0.407
All Seasons,21-24 (late night),"188,547",4.1,1.63,1.57,3.0,0.412
