network,quantity,units,n,mean,std,p05,p25,median,p75,p95,min,max
IMPROVE,Elemental Carbon,µg/m³,379697,0.2053,0.365,0.0166,0.0592,0.1213,0.2407,0.6215,0.0,43.7604
IMPROVE,Organic Carbon,µg/m³,379697,1.0395,1.8187,0.1128,0.354,0.6778,1.2347,2.8673,-0.1717,428.1492
IMPROVE,Absorption fAbs,Mm⁻¹,379697,2.2435,2.601,0.19,0.71,1.5102,2.94,6.38,0.0001,310.95
IMPROVE,Iron,µg/m³,379658,0.0422,0.0691,0.0022,0.0098,0.0223,0.0467,0.1468,-0.0017,3.2604
IMPROVE,Fine PM₂.₅ mass,µg/m³,379367,4.7878,5.305,0.706,1.9161,3.4786,6.0035,12.8742,-10.7222,794.9835
SPARTAN,Elemental Carbon,µg/m³,543,2.6687,2.6612,0.26,0.565,1.53,3.975,8.537,-0.94,12.33
SPARTAN,Organic Carbon,µg/m³,543,4.7643,3.6471,1.132,2.185,3.68,6.06,12.686,0.44,25.36
SPARTAN,Absorption fAbs,Mm⁻¹,546,27.2298,23.4938,2.8722,6.6563,18.6188,45.4925,66.0085,0.1553,225.5183
SPARTAN,Iron,µg/m³,819,0.3077,0.3045,0.0315,0.0936,0.2368,0.4278,0.8183,0.0,3.7958
SPARTAN,Fine PM₂.₅ mass,µg/m³,853,26.1778,25.6773,3.232,7.89,17.33,35.5,80.232,0.97,156.27
